file,directory,status,entity_id
"Sean-McMaster-12.01.2025-278T.pdf","data/raw_pdfs",ok,2669.14d921c9c744d216279b356676b01ddc2cf02c7f
"Sean-McMaster-12.11.2025-278T.pdf","data/raw_pdfs",ok,2670.f30f52a1158459924fcf4b4187a3a52a113be065
"Stacey-Dixon-02.10.2025-278T.pdf","data/raw_pdfs",ok,2671.b94f6b80d69bc84319db576885c699da61d92447
"Stephen-A-Vaden-03.19.2026-278T.pdf","data/raw_pdfs",ok,2672.8395ebece1ce9231e0dfd978042e568137d73098
"Stephen-I-Miran-04.03.2026-278T.pdf","data/raw_pdfs",ok,2673.8fcf48b3fa822dfcd5c8c447c83d69cb4eed8784
"Stephen-I-Miran-07.21.2025-278T.pdf","data/raw_pdfs",ok,2674.396446e0e42693bc99759bb1233c4042a40a0af0
"Stephen-I-Miran-12.03.2025-278T.pdf","data/raw_pdfs",ok,2675.83461cffe76c5499894f3a80502d87c5d8754985
"Todd-Blanche-06.03.2025-278T.pdf","data/raw_pdfs",ok,2676.5be05ced740128ac9c53dc27a8130cbdb770e545
"Troy-D-Edgar-05.01.2025-278T.pdf","data/raw_pdfs",ok,2677.7e2f886d3b9d25c63f9adc4b44a89e807dd9b287
"Trump, Donald J.-05.08.2026-278T(2).pdf","data/raw_pdfs",ok,2678.888f5f11218dbec08e2cb60c7db3a8a1140cdaff
"Trump, Donald J.-05.08.2026-278T.pdf","data/raw_pdfs",ok,2679.de0a945173d1ea52f5bddbfeb9c9e6e21c31325a
"Tulsi-Gabbard-05.21.2025-278T.pdf","data/raw_pdfs",ok,2680.c9497221b430fbbce891105f0fac889eb0f65990
