ticker,awarding_agency,total_award_amount,n_awards
TRU,Department of Transportation,92981.52,1
TRU,Small Business Administration,150000.0,1
TRV,Department of Defense,24687786.48,2
TRV,Department of Health and Human Services,40516.73,1
TRV,Department of Veterans Affairs,206964.0,1
TSLA,Department of Transportation,10373.07,1
TT,Department of State,1166109.54,8
TWST,Department of Agriculture,60860.55,1
TWST,Department of Defense,4536221.0,1
TWST,Department of Health and Human Services,6644295.19,10
TWST,Department of Justice,97120.0,1
TWST,Department of Veterans Affairs,214140.0,2
TXN,Department of Defense,739516421.49,9
TYL,Department of Agriculture,530139.97,1
TYL,Department of Defense,422073.87,3
TYL,Department of Veterans Affairs,0.0,1
TYL,Department of the Interior,11424.0,2
TYL,Department of the Treasury,14818.0,2
TYL,National Aeronautics and Space Administration,22776.53,1
TYL,Railroad Retirement Board,43957.0,1
TYL,Securities and Exchange Commission,521853.96,1
UNH,Department of Defense,13145560374.49,1
UNP,Department of Defense,564973.42,3
UNP,Department of Transportation,602047.42,9
UPS,Department of Defense,51579402.6,2
UPS,Department of Veterans Affairs,218766506.27,6
UPS,Department of the Treasury,52713081.05,1
UPS,General Services Administration,84263632.0,1
VLO,Department of Defense,5553016199.52,15
VMC,Department of Agriculture,98393.31,1
VMC,Department of Defense,4711589.32,9
VMC,Department of the Interior,292287.72,2
WAB,Department of Defense,53586.88,2
WAB,Department of Transportation,917816.0,3
WCC,Department of Defense,507864.49,7
WCN,Department of Defense,6925755.31,4
WCN,Department of Justice,1057841.67,2
WCN,Department of Veterans Affairs,1598123.79,2
WCN,General Services Administration,667934.46,1
WDAY,Office of Personnel Management,0.0,1
WFC,Department of Defense,3535023.18,1
